GCA_002204095.1	153
GCA_002204105.1	56
GCA_002217575.1	W4-13
GCA_002251495.1	NMH2016
GCA_002284075.1	OYP7C09
GCA_002284095.1	OYP8C06
GCA_002284115.1	OYP8F12
GCA_002284125.1	OYP8A01
GCA_002284155.1	OYP6G08
GCA_002284175.1	OYP6F08
GCA_002284185.1	OYP6E07
GCA_002284205.1	OYP6D06
GCA_002284235.1	OYP5F10
GCA_002284245.1	OYP4H11
GCA_002284255.1	OYP4H08
GCA_002284265.1	OYP6F10
GCA_002284315.1	OYP4H06
GCA_002284325.1	OYP4G08
GCA_002284355.1	OYP3F10
GCA_002284365.1	OYP4B01
GCA_002284395.1	OYP2A12
GCA_002284415.1	OYP2E01
GCA_002284425.1	OYP2D07
GCA_002284455.1	OYP1E07
GCA_002284475.1	OYP2C05
GCA_002284495.1	OYP1G01
GCA_002313005.1	ICDC-VC661
GCA_002313025.1	FORC_055
GCA_002407455.1	VC0101557
GCA_002749635.1	E7946
GCA_002807705.1	330590
GCA_002807725.1	S002502
GCA_002807735.1	S002506
GCA_002807765.1	330073_A
GCA_002807785.1	330113
GCA_002807805.1	S003806
GCA_002807825.1	220076-6
GCA_002807835.1	S002300_B
GCA_002807865.1	220075-6
GCA_002807875.1	330920_B
GCA_002807895.1	330110
GCA_002807925.1	S023208
GCA_002807945.1	330920_A
GCA_002807965.1	330073_B
GCA_002807975.1	S003202
GCA_002807985.1	S002300_E
GCA_002808065.1	330440_C1
GCA_002808075.1	S000600_C10
GCA_002808105.1	330081
GCA_002808125.1	S023202
GCA_002808145.1	22087102_C2
GCA_002808155.1	S002604
GCA_002808165.1	22043202_C1
GCA_002808205.1	S003008
GCA_002808215.1	22043300_C6
GCA_002808225.1	330898_C2
GCA_002808265.1	330033_C1
GCA_002808275.1	22044108_C3
GCA_002808305.1	S042408
GCA_002808325.1	S040602_C1
GCA_002808345.1	22087500_C9
GCA_002808355.1	S042100
GCA_002808365.1	S000100_C5
GCA_002808405.1	S081300_C2
GCA_002808415.1	331721_C1
GCA_002808435.1	22043204_C1
GCA_002808465.1	22043200_C1
GCA_002808485.1	330013_C1
GCA_002843255.1	VcN1
GCA_002890525.1	11116
GCA_002892855.1	A1552
GCA_002899735.1	IDH-06787
GCA_002911455.1	5879
GCA_002918335.1	146P
GCA_002918345.1	146N
GCA_002946655.1	HC1037
GCA_002997215.1	A1552
GCA_003013485.1	2044
GCA_003015005.1	186
GCA_003056705.1	20-a_11
GCA_003056955.1	M1425
GCA_003056975.1	2688
GCA_003056995.1	M1332
GCA_003057015.1	8
GCA_003057035.1	3178
GCA_003057055.1	2613
GCA_003057075.1	2687
GCA_003057085.1	124
GCA_003057115.1	2843
GCA_003057775.1	A3_296
GCA_003063785.1	N16961
GCA_003063885.1	Sa5Y
GCA_003096115.1	Ogawa 18963
GCA_003096135.1	9507
GCA_003097695.1	A1552
GCA_003130465.1	16241D
GCA_003130475.1	41D
GCA_003130485.1	169D
GCA_003130495.1	1270D
GCA_003205555.1	UG054
GCA_003205565.1	UG046
GCA_003205635.1	UG020
GCA_003205655.1	UG042
GCA_003205675.1	UG086
GCA_003205685.1	UG026
GCA_003205705.1	UG071
GCA_003205735.1	UG040
GCA_003205755.1	UG060
GCA_003205765.1	UG010
GCA_003260135.1	60555434
GCA_003312945.1	09_113
GCA_003327445.1	10213D
GCA_003347715.1	BD60
GCA_003347725.1	BD58
GCA_003347755.1	BD57
GCA_003347775.1	BD55
GCA_003347785.1	BD59
GCA_003347815.1	BD56
GCA_003347835.1	BD54
GCA_003347855.1	BD53
GCA_003347865.1	BD51
GCA_003347895.1	BD50
GCA_003347905.1	BD47
GCA_003347915.1	BD46
GCA_003347935.1	BD48
GCA_003347945.1	BD44
GCA_003347995.1	BD43
GCA_003348015.1	BD40
GCA_003348035.1	BD37
GCA_003348055.1	BD34
GCA_003348065.1	BD32
GCA_003348095.1	BD31
GCA_003348115.1	BD30
GCA_003348135.1	BD29
GCA_003348145.1	BD28
GCA_003348175.1	BD27
GCA_003348195.1	BD24
GCA_003348215.1	BD23
